OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
POC11003	17	POC11003_L375.avi	51071	POC11003_R376.avi	53313	34.04733	timeseabed	25.40267	417.10719	0.80950	3.78174	1130.59033	5.62152	16.16955	8.49313	89.75583	-64.87842	-1125.15296	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC11003	22	POC11003_L375.avi	53021	POC11003_R376.avi	55263	35.34733	timeseabed	26.70267	327.53856	1.81397	0.70551	1919.87801	18.31055	10.52200	6.74100	594.21665	103.49895	-1822.67005	Lethrinidae	Gymnocranius	grandoculis	37351005	1	AD	Passing			
POC11003	25	POC11003_L375.avi	69735	POC11003_R376.avi	71977	46.49000	timeseabed	37.84533	327.62023	0.89469	1.67369	1378.17834	11.92831	9.22457	27.69419	-278.27731	-60.84904	-1348.41932	Lethrinidae	Lethrinus	lentjan	37351007	1	AD	Passing			
POC11003	26	POC11003_L375.avi	85012	POC11003_R376.avi	87254	56.67467	timeseabed	48.03000	228.99807	2.18804	4.02501	1850.17012	5.79692	23.77954	8.69174	-126.23004	137.79409	-1840.70863	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
POC11003	27	POC11003_L375.avi	85140	POC11003_R376.avi	87382	56.76000	timeseabed	48.11533	286.09849	1.14237	1.54746	1674.01215	10.80096	8.57453	4.04329	234.09427	208.83342	-1644.35555	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
POC12003	0	POC12003_L375.avi	11520	POC12003_R376.avi	14344	7.68000	Timeseabed	0.02933	1733.35266	3.70691	11.30738	3053.82141	5.83204	1.07406	2.65652	2.74405	310.29443	-3038.01499	Carcharhinidae	Carcharhinus	albimarginatus	37018027	1	AD	Passing			
POC12003	1	POC12003_L375.avi	17380	POC12003_R376.avi	20204	11.58667	Timeseabed	3.93600	199.34728	2.99196	1.87338	1898.97093	12.09402	33.36446	0.53628	-396.09629	37.48050	-1856.82350	Nemipteridae	Nemipterus	spp		1	AD	Passing			
POC12003	2	POC12003_L375.avi	18158	POC12003_R376.avi	20982	12.10533	Timeseabed	4.45467	277.41028	9.52978	3.14294	4589.31755	11.65728	17.74613	3.62004	500.32656	780.74739	-4494.65710	Sphyraenidae	Sphyraena	qenie	37382009	1	AD	Passing			
POC12003	3	POC12003_L375.avi	23042	POC12003_R376.avi	25866	15.36133	Timeseabed	7.71067	257.72782	4.65782	1.54267	2983.27112	11.67460	18.69334	2.01766	-565.34567	211.67704	-2921.55501	Balistidae	Abalistes	stellatus	37465011	1	AD	Passing			
POC12003	4	POC12003_L375.avi	34889	POC12003_R376.avi	37713	23.25933	Timeseabed	15.60867	282.64413	1.04631	7.20776	1695.04561	3.51006	7.86924	0.32593	-42.43876	-94.70291	-1691.86582	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
POC12003	5	POC12003_L375.avi	34889	POC12003_R376.avi	37713	23.25933	Timeseabed	15.60867	301.95416	0.97672	7.74851	1497.69750	8.90434	8.84611	10.83707	-192.20881	-129.60322	-1479.64746	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
POC12003	6	POC12003_L375.avi	34889	POC12003_R376.avi	37713	23.25933	Timeseabed	15.60867	251.43618	1.21090	1.62669	1315.89725	7.63070	24.48424	9.24518	-7.53129	-174.57233	-1304.24436	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
POC12003	7	POC12003_L375.avi	35286	POC12003_R376.avi	38110	23.52400	Timeseabed	15.87333	221.73087	1.38942	4.96600	1039.58722	8.44352	61.04077	18.22518	-142.97895	-53.46171	-1028.31923	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
POC12003	8	POC12003_L375.avi	37804	POC12003_R376.avi	40628	25.20267	Timeseabed	17.55200	462.94388	1.60878	4.58458	1500.72955	12.84143	29.30170	28.49306	-328.69935	56.63312	-1463.19466	Ariidae	Netuma	thalassina	37188001	1	AD	Passing			
POC12003	9	POC12003_L375.avi	37811	POC12003_R376.avi	40635	25.20733	Timeseabed	17.55667	416.75806	1.83111	12.51255	1422.01806	11.88088	40.52733	24.62505	291.80711	-23.62361	-1391.55521	Ariidae	Netuma	thalassina	37188001	1	AD	Passing			
POC12003	10	POC12003_L375.avi	38164	POC12003_R376.avi	40988	25.44267	Timeseabed	17.79200	305.19249	1.84742	1.80196	1565.44772	9.49410	28.11431	7.68621	-256.65097	-28.37246	-1544.00513	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
POC12003	11	POC12003_L375.avi	41040	POC12003_R376.avi	43864	27.36000	Timeseabed	19.70933	560.16965	4.23074	2.10975	2600.36081	15.56267	23.59211	4.18220	677.90633	164.82679	-2505.02525	Serranidae	Epinephelus	amblycephalus	37311015	1	AD	Passing			
POC12003	12	POC12003_L375.avi	46766	POC12003_R376.avi	49590	31.17733	Timeseabed	23.52667	250.28285	3.20908	3.20528	2066.22328	20.18841	31.77496	2.72487	-712.37800	31.42503	-1939.28046	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
POC12003	13	POC12003_L375.avi	46766	POC12003_R376.avi	49590	31.17733	Timeseabed	23.52667	242.08964	4.79250	2.89431	2809.43520	14.36320	23.61543	13.62974	-658.37752	228.58440	-2721.61981	Sparidae	Argyrops	spinifer	37353006	1	AD	Passing			
POC12003	14	POC12003_L375.avi	50902	POC12003_R376.avi	53726	33.93467	Timeseabed	26.28400	379.04234	1.38236	2.61783	1570.66761	6.18873	17.57781	8.44693	-141.28739	93.31936	-1561.51405	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
POC12003	15	POC12003_L375.avi	50902	POC12003_R376.avi	53726	33.93467	Timeseabed	26.28400	549.95552	9.45793	5.08302	3390.83854	12.91761	35.54394	5.47195	-579.77828	488.31666	-3305.02497	Lutjanidae	Pristipomoides	multidens	37346002	1	AD	Passing			
POC12003	16	POC12003_L375.avi	64018	POC12003_R376.avi	66842	42.67867	Timeseabed	35.02800	363.07080	0.83143	4.42184	1458.07841	2.51378	10.00866	48.81154	-61.45619	17.68725	-1456.67531	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC12003	17	POC12003_L375.avi	64188	POC12003_R376.avi	67012	42.79200	Timeseabed	35.14133	448.58816	2.19754	3.36890	2233.60327	18.52228	7.54727	2.38499	678.60666	207.27552	-2117.90307	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC12003	18	POC12003_L375.avi	64202	POC12003_R376.avi	67026	42.80133	Timeseabed	35.15067	417.44684	1.20917	5.98901	1481.25250	7.85571	17.33946	20.84217	-199.23489	-35.96945	-1467.35157	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC12003	20	POC12003_L375.avi	64254	POC12003_R376.avi	67078	42.83600	Timeseabed	35.18533	358.21713	0.95835	0.44580	1364.99856	2.48521	15.21622	26.11053	29.39551	-51.37288	-1363.71471	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC12003	21	POC12003_L375.avi	64368	POC12003_R376.avi	67192	42.91200	Timeseabed	35.26133	387.94968	1.39333	1.76803	1453.33339	3.96734	30.18206	40.59262	-100.11896	9.33151	-1449.85070	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC12003	22	POC12003_L375.avi	64628	POC12003_R376.avi	67452	43.08533	Timeseabed	35.43467	490.98912	3.96596	8.94641	2189.00620	8.56605	49.99110	44.77137	98.24747	310.89699	-2164.58741	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
POC12003	23	POC12003_L375.avi	70764	POC12003_R376.avi	73588	47.17600	Timeseabed	39.52533	370.31038	4.22048	1.84805	1888.57095	21.28148	69.50116	6.55199	-564.57135	388.72907	-1759.78668	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC12003	24	POC12003_L375.avi	70845	POC12003_R376.avi	73669	47.23000	Timeseabed	39.57933	397.11524	2.48329	8.33890	2691.33501	15.16674	5.32301	10.81583	564.61468	420.72692	-2597.59182	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC12003	25	POC12003_L375.avi	70847	POC12003_R376.avi	73671	47.23133	Timeseabed	39.58067	364.50519	7.64384	10.54673	3309.46823	12.95928	30.73999	15.12454	-86.94800	737.06585	-3225.17502	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC12003	26	POC12003_L375.avi	70885	POC12003_R376.avi	73709	47.25667	Timeseabed	39.60600	416.83517	3.54083	3.97964	2531.31872	17.72499	20.25405	10.14036	-644.83063	422.02465	-2411.15390	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC12003	27	POC12003_L375.avi	70887	POC12003_R376.avi	73711	47.25800	Timeseabed	39.60733	263.08419	1.21241	1.84880	1224.46442	16.56651	31.32645	3.23513	-203.57520	283.63428	-1173.63617	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
