OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
POC39002	0	1	1085.61825	953.07692	673.03721	1008.46154
POC39002	1	0	1030.30012	927.69231	560.09604	980.76923
POC39002	1	1	855.12605	983.07692	306.55462	1026.92308
POC39002	2	0	606.19448	858.46154	299.63986	883.84615
POC39002	2	1	474.81393	893.07692	122.16086	909.23077
POC39002	3	0	813.63745	690.00000	569.31573	729.23077
POC39002	3	1	620.02401	789.23077	276.59064	821.53846
POC39002	4	0	938.10324	537.69231	435.63025	593.07692
POC39002	4	1	1578.87155	286.15385	795.19808	369.23077
POC38002	0	0	693.78151	401.53846	546.26651	417.69231
POC38002	0	1	984.20168	376.15385	781.36855	380.76923
POC38002	1	0	633.85354	484.61538	389.53181	498.46154
POC38002	1	1	919.66387	533.07692	668.42737	542.30769
POC38002	2	0	1482.06483	452.30769	1355.29412	456.92308
POC38002	2	1	1205.47419	413.07692	1106.36255	417.69231
POC38002	3	0	1401.39256	646.15385	1060.26411	660.00000
POC38002	3	1	1659.54382	625.38462	1320.72029	636.92308
POC38002	4	0	620.02401	586.15385	875.87035	590.76923
POC38002	4	1	1223.91357	553.84615	1389.86795	565.38462
POC38002	5	0	836.68667	803.07692	603.88956	798.46154
POC38002	5	1	1313.80552	752.30769	1136.32653	768.46154
POC38002	6	0	55.31813	348.46154	16.13445	378.46154
POC38002	6	1	513.99760	376.15385	426.41056	390.00000
POC38002	7	0	1161.68067	819.23077	855.12605	823.84615
POC38002	7	1	1682.59304	579.23077	1661.84874	593.07692
POC38002	8	0	1323.02521	648.46154	1327.63505	664.61538
POC38002	8	1	1569.65186	583.84615	1634.18968	604.61538
POC38002	9	0	354.95798	738.46154	161.34454	731.53846
POC38002	9	1	769.84394	733.84615	578.53541	729.23077
POC38002	10	0	1359.90396	310.69231	1676.83073	304.84615
POC38002	10	1	1524.70588	325.69231	1870.44418	310.61538
POC38002	11	0	433.32533	436.00000	116.39856	453.92308
POC38002	11	1	1104.05762	450.00000	768.69148	460.84615
POC38002	12	0	1219.30372	731.53846	1067.17887	747.69231
POC38002	12	1	1622.66507	634.61538	1578.87155	650.76923
POC38002	13	0	1154.76591	662.30769	797.50300	666.92308
POC38002	13	1	1553.51741	477.69231	1316.11044	480.00000
POC38002	14	0	324.99400	535.38462	133.68547	537.69231
POC38002	14	1	1523.55342	466.15385	1498.19928	470.76923
POC24009	0	0	1081.00840	851.53846	726.05042	853.84615
POC24009	1	0	1083.31333	867.69231	730.66026	870.00000
POC24009	2	0	1083.31333	883.84615	732.96519	888.46154
POC24009	3	0	488.64346	906.92308	202.83313	879.23077
POC24009	4	0	988.81152	480.00000	1057.95918	489.23077
POC24009	5	0	1809.58132	701.39925	1867.61805	729.40299
POC24009	5	1	1442.40399	684.77612	1438.48898	705.22388
POC24009	6	0	1157.07083	263.07692	1018.77551	260.76923
POC24009	6	1	1546.60264	186.92308	1267.70708	173.07692
POC24009	7	0	516.30252	343.84615	721.44058	355.38462
POC24009	8	0	1189.33974	293.07692	1226.21849	290.76923
POC24009	9	0	960.06242	143.07692	879.69028	147.46154
POC24009	9	1	1110.26651	147.30769	1019.52221	150.15385
POC24009	10	0	1110.97239	108.46154	1189.33974	106.15385
POC24009	11	0	921.96879	609.23077	864.34574	606.92308
POC12001	0	0	632.49820	734.61538	502.47299	770.76923
POC12001	0	1	424.67107	759.61538	248.30612	785.07692
POC12001	1	0	218.96759	687.69231	193.61345	708.46154
POC12001	1	1	447.15486	660.00000	419.49580	683.07692
POC12001	2	0	631.54862	653.07692	350.34814	696.92308
POC12001	2	1	331.90876	669.23077	32.26891	699.23077
POC12001	3	0	1329.93998	962.30769	841.29652	1040.76923
POC12001	3	1	1074.09364	960.00000	530.13205	1026.92308
POC12001	4	0	921.96879	632.30769	749.09964	673.84615
POC12001	4	1	693.78151	593.07692	518.60744	634.61538
POC12001	5	0	1002.64106	692.30769	643.07323	747.69231
POC12001	5	1	892.00480	773.07692	387.22689	823.84615
POC12001	6	0	272.40696	348.07692	547.79112	388.69231
POC12001	6	1	48.44538	351.53846	346.87875	397.92308
POC12001	7	0	1339.15966	567.69231	1431.35654	623.07692
POC12001	7	1	1057.95918	544.61538	1110.97239	597.69231
POC12001	8	0	592.36495	507.69231	569.31573	551.53846
POC12001	8	1	195.91837	440.76923	126.77071	480.00000
POC12001	9	0	1415.22209	417.69231	1491.28451	466.15385
POC12001	9	1	1772.48499	396.92308	1876.20648	450.00000
POC12001	10	0	1724.57503	662.91045	1581.53200	745.52239
POC12001	10	1	1148.37356	642.76119	989.21301	699.17910
POC12001	11	0	1299.97599	468.46154	1251.57263	528.46154
POC12001	11	1	737.57503	424.61538	705.30612	470.76923
POC12001	12	0	1551.21248	283.84615	1514.33373	332.30769
